,Quarter,Tm,Detail,MIA,IND
0,1.0,Dolphins,Lorenzo Hampton 39 yard pass from Dan Marino (Fuad Reveiz kick),7,0
1,1.0,Colts,Dean Biasucci 50 yard field goal,7,3
2,2.0,Colts,Dean Biasucci 34 yard field goal,7,6
3,2.0,Colts,Dean Biasucci 41 yard field goal,7,9
4,2.0,Colts,Dean Biasucci 51 yard field goal,7,12
5,4.0,Colts,Dean Biasucci 25 yard field goal,7,15
6,4.0,Dolphins,Troy Stradford 8 yard pass from Dan Marino,13,15
