,Quarter,Tm,Detail,WAS,PIT
0,1.0,Redskins,Charley Taylor 3 yard rush (Jim Martin kick),7,0
1,2.0,Redskins,Angelo Coia 80 yard pass from Sonny Jurgensen,13,0
2,2.0,Redskins,Charley Taylor 80 yard pass from Sonny Jurgensen (Jim Martin kick),20,0
3,3.0,Redskins,Johnny Sample 15 yard interception return (Jim Martin kick),27,0
4,3.0,Redskins,Jim Martin 31 yard field goal,30,0
