,Quarter,Tm,Detail,NWE,BAL
0,1.0,Patriots,Cedric Jones 9 yard pass from Steve Grogan (Fred Steinfort kick),7,0
1,3.0,Colts,Curtis Dickey 68 yard pass from Mike Pagel (Raul Allegre kick),7,7
2,4.0,Colts,Raul Allegre 52 yard field goal,7,10
3,4.0,Colts,"Safety, Thompson tackled Grogan in end zone",7,12
