,Quarter,Tm,Detail,OAK,DEN
0,1.0,Raiders,Errol Mann 20 yard field goal,3,0
1,1.0,Broncos,Haven Moses 74 yard pass from Craig Morton (Jim Turner kick),3,7
2,3.0,Broncos,Jon Keyworth 1 yard rush (Jim Turner kick),3,14
3,4.0,Raiders,Dave Casper 7 yard pass from Ken Stabler (Errol Mann kick),10,14
4,4.0,Broncos,Haven Moses 12 yard pass from Craig Morton,10,20
5,4.0,Raiders,Dave Casper 17 yard pass from Ken Stabler (Errol Mann kick),17,20
