,Quarter,Tm,Detail,DEN,KAN
0,1.0,Chiefs,Nick Lowery 34 yard field goal,0,3
1,1.0,Chiefs,Nick Lowery 41 yard field goal,0,6
2,2.0,Chiefs,Nick Lowery 52 yard field goal,0,9
3,2.0,Chiefs,Nick Lowery 44 yard field goal,0,12
4,4.0,Chiefs,Nick Lowery 20 yard field goal,0,15
5,4.0,Broncos,Vance Johnson 2 yard pass from John Elway (Jason Elam kick),7,15
