,Quarter,Time,Tm,Detail,BUF,NYJ
0,1.0,,Bills,Steve Christie 40 yard field goal,3,0
1,1.0,,Jets,Keyshawn Johnson 25 yard pass from Vinny Testaverde (John Hall kick),3,7
2,2.0,,Bills,Steve Christie 37 yard field goal,6,7
3,2.0,,Bills,Steve Christie 44 yard field goal,9,7
4,2.0,0:32,Jets,John Hall 49 yard field goal,9,10
5,2.0,0:32,Jets,John Hall 43 yard field goal,9,13
6,3.0,0:32,Jets,Dedric Ward 36 yard pass from Vinny Testaverde (John Hall kick),9,20
7,3.0,0:32,Bills,Steve Christie 21 yard field goal,12,20
8,4.0,0:32,Jets,Wayne Chrebet 12 yard pass from Vinny Testaverde (John Hall kick),12,27
9,4.0,0:32,Jets,Curtis Martin 6 yard rush (John Hall kick),12,34
