,Quarter,Time,Tm,Detail,CAR,NOR
0,1.0,8:16,Saints,Ben Watson 14 yard pass from Drew Brees (Kai Forbath kick),0,7
1,1.0,4:04,Saints,Stephone Anthony 31 yard defensive fumble return (Kai Forbath kick),0,14
2,2.0,14:55,Panthers,Mike Tolbert 12 yard pass from Cam Newton (Graham Gano kick),7,14
3,2.0,1:55,Panthers,Jonathan Stewart 5 yard rush (Graham Gano kick failed),13,14
4,2.0,1:55,Saints,Stephone Anthony defensive extra point return,13,16
5,3.0,10:21,Panthers,Ted Ginn Jr. 13 yard pass from Cam Newton (Graham Gano kick),20,16
6,3.0,4:56,Panthers,Devin Funchess 13 yard pass from Cam Newton (Graham Gano kick),27,16
7,3.0,2:51,Saints,Brandin Cooks 54 yard pass from Drew Brees (Mark Ingram run),27,24
8,4.0,14:02,Saints,Brandon Coleman 24 yard pass from Drew Brees (Kai Forbath kick),27,31
9,4.0,11:54,Panthers,Ted Ginn Jr. 45 yard pass from Cam Newton (Graham Gano kick),34,31
10,4.0,5:21,Saints,Mark Ingram 9 yard rush (Kai Forbath kick),34,38
11,4.0,1:05,Panthers,Jerricho Cotchery 15 yard pass from Cam Newton (Graham Gano kick),41,38
