,Quarter,Time,Tm,Detail,SDG,NWE
0,1,9:56,Patriots,Adam Vinatieri 26 yard field goal,0,3
1,1,0:00,Chargers,Wade Richey 21 yard field goal,3,3
2,2,3:55,Patriots,Terry Glenn 21 yard pass from Tom Brady (Adam Vinatieri kick failed),3,9
3,2,0:29,Chargers,Wade Richey 27 yard field goal,6,9
4,3,9:43,Chargers,LaDainian Tomlinson 1 yard rush (Wade Richey kick),13,9
5,3,4:20,Patriots,Antowain Smith 1 yard rush (Adam Vinatieri kick),13,16
6,4,10:00,Chargers,Steve Heiden 3 yard pass from Doug Flutie,19,16
7,4,8:48,Chargers,Derrick Harris 6 yard defensive fumble return (Wade Richey kick),26,16
8,4,3:31,Patriots,Adam Vinatieri 23 yard field goal,26,19
9,4,0:36,Patriots,Jermaine Wiggins 3 yard pass from Tom Brady (Adam Vinatieri kick),26,26
10,OT,10:55,Patriots,Adam Vinatieri 44 yard field goal,26,29
