,Quarter,Tm,Detail,CHI,CLE
0,1.0,Browns,David Brandon 92 yard interception return (Matt Stover kick),0,7
1,2.0,Browns,Matt Stover 27 yard field goal,0,10
2,2.0,Browns,Matt Stover 43 yard field goal,0,13
3,2.0,Bears,Neal Anderson 30 yard pass from Peter Tom Willis (Kevin Butler kick),7,13
4,3.0,Browns,Eric Metcalf 75 yard punt return (Matt Stover kick),7,20
5,3.0,Bears,Tom Waddle 68 yard pass from Peter Tom Willis (Kevin Butler kick),14,20
6,4.0,Browns,Kevin Mack 1 yard rush (Matt Stover kick),14,27
