,Quarter,Tm,Detail,BAL,RAM
0,1.0,Colts,Raymond Berry 3 yard pass from Johnny Unitas (Steve Myhra kick),7,0
1,1.0,Rams,Paige Cothren 43 yard field goal,7,3
2,1.0,Colts,Lenny Moore 5 yard pass from Johnny Unitas (Steve Myhra kick),14,3
3,2.0,Rams,Tommy Wilson 2 yard rush (Paige Cothren kick),14,10
4,2.0,Rams,Dick Daugherty 12 yard interception return,14,16
5,3.0,Rams,Jack Morris 44 yard interception return (Paige Cothren kick),14,23
6,3.0,Colts,Alan Ameche 2 yard rush (Steve Myhra kick),21,23
7,4.0,Rams,Del Shofner 69 yard pass from Billy Wade (Paige Cothren kick),21,30
8,4.0,Colts,Jim Mutscheller 22 yard pass from Johnny Unitas (Steve Myhra kick),28,30
