,Quarter,Tm,Detail,STL,PHI
0,1.0,Cardinals,Billy Gambrell 5 yard pass from Charley Johnson (Jim Bakken kick),7,0
1,1.0,Cardinals,Johnny Roland 86 yard punt return (Jim Bakken kick),14,0
2,2.0,Eagles,Sam Baker 32 yard field goal,14,3
3,2.0,Eagles,Timmy Brown 1 yard rush (Sam Baker kick),14,10
4,2.0,Cardinals,Jim Bakken 44 yard field goal,17,10
5,3.0,Cardinals,Billy Gambrell 12 yard pass from Charley Johnson (Jim Bakken kick),24,10
6,3.0,Cardinals,Jim Bakken 34 yard field goal,27,10
7,4.0,Cardinals,Jerry Stovall 18 yard interception return (Jim Bakken kick),34,10
8,4.0,Cardinals,Larry Wilson 91 yard interception return (Jim Bakken kick),41,10
