,Quarter,Tm,Detail,RAM,DET
0,1.0,Rams,Paul Barry 7 yard rush,6,0
1,2.0,Lions,Bob Hoernschemeyer 41 yard pass from Bobby Layne (Doak Walker kick),6,7
2,3.0,Lions,Cloyce Box 39 yard pass from Bobby Layne (Doak Walker kick),6,14
3,3.0,Rams,Glenn Davis 10 yard pass from Norm Van Brocklin (Bob Waterfield kick),13,14
4,3.0,Rams,Dick Hoerner 6 yard rush (Bob Waterfield kick),20,14
5,4.0,Lions,Don Doll 15 yard interception return (Doak Walker kick),20,21
6,4.0,Rams,Vitamin Smith 37 yard pass from Norm Van Brocklin (Bob Waterfield kick),27,21
7,4.0,Lions,Doak Walker 2 yard rush (Doak Walker kick),27,28
8,4.0,Rams,Bob Waterfield 10 yard field goal,30,28
