,Quarter,Tm,Detail,PIT,SEA
0,1.0,Steelers,Franco Harris 9 yard rush (Gary Anderson kick),7,0
1,2.0,Steelers,Cliff Stoudt 1 yard rush (Gary Anderson kick),14,0
2,2.0,Steelers,Frank Pollard 1 yard rush (Gary Anderson kick),21,0
3,2.0,Steelers,Gary Anderson 20 yard field goal,24,0
4,3.0,Seahawks,Curt Warner 1 yard rush (Norm Johnson kick),24,7
5,4.0,Seahawks,Steve Largent 21 yard pass from Dave Krieg (Norm Johnson kick),24,14
6,4.0,Steelers,Gary Anderson 32 yard field goal,27,14
7,4.0,Seahawks,Paul Johns 26 yard pass from Dave Krieg (Norm Johnson kick),27,21
