,Quarter,Tm,Detail,DET,GNB
0,1.0,Lions,Jug Girard 15 yard pass from Bobby Layne (Pat Harder kick),7,0
1,1.0,Lions,Bob Hoernschemeyer 6 yard rush (Pat Harder kick),14,0
2,1.0,Packers,Billy Howton 78 yard pass from Tobin Rote (Fred Cone kick),14,7
3,2.0,Lions,Bill Swiacki 15 yard pass from Bobby Layne (Pat Harder kick),21,7
4,2.0,Lions,Bob Hoernschemeyer 6 yard rush (Pat Harder kick),28,7
5,2.0,Packers,Bill Reichardt 35 yard field goal,28,10
6,3.0,Lions,Bob Smith 46 yard interception return (Pat Harder kick),35,10
7,3.0,Lions,Jug Girard 39 yard pass from Bobby Layne (Pat Harder kick),42,10
8,3.0,Packers,Jim Keane 29 yard pass from Babe Parilli (Fred Cone kick),42,17
9,4.0,Lions,Pat Harder 16 yard field goal,45,17
10,4.0,Lions,Jack Christiansen 65 yard punt return (Bobby Layne kick),52,17
