,Quarter,Tm,Detail,BUF,NWE
0,1.0,Patriots,John Smith 46 yard field goal,0,3
1,2.0,Patriots,John Smith 33 yard field goal,0,6
2,2.0,Patriots,Mike Haynes 89 yard punt return (John Smith kick),0,13
3,2.0,Bills,George Jakowenko 31 yard field goal,3,13
4,3.0,Patriots,Sam Cunningham 8 yard rush (John Smith kick),3,20
5,4.0,Bills,Gary Marangi 6 yard rush (George Jakowenko kick),10,20
