,Quarter,Tm,Detail,NWE,PIT
0,1.0,Patriots,Tony Franklin 31 yard field goal,3,0
1,1.0,Patriots,Stephen Starring 43 yard pass from Steve Grogan (Tony Franklin kick),10,0
2,2.0,Patriots,Fred Marion 37 yard interception return (Tony Franklin kick),17,0
3,2.0,Patriots,Tony Collins 10 yard pass from Steve Grogan (Tony Franklin kick),24,0
4,3.0,Patriots,Willie Scott 2 yard pass from Steve Grogan (Tony Franklin kick),31,0
5,4.0,Patriots,Tony Franklin 36 yard field goal,34,0
