,Quarter,Tm,Detail,MIA,RAI
0,1.0,Raiders,Frank Hawkins 2 yard rush (Chris Bahr kick),0,7
1,2.0,Raiders,Todd Christensen 14 yard pass from Jim Plunkett,0,13
2,3.0,Raiders,Greg Townsend 66 yard defensive fumble return (Chris Bahr kick),0,20
3,4.0,Raiders,Greg Pruitt 5 yard rush (Chris Bahr kick),0,27
4,4.0,Dolphins,Joe Rose 6 yard pass from Dan Marino (Uwe von Schamann kick),7,27
5,4.0,Dolphins,Mark Duper 2 yard pass from Dan Marino (Uwe von Schamann kick),14,27
