,Quarter,Time,Tm,Detail,DAL,NYG
0,1.0,5:00,Cowboys,Richie Cunningham 38 yard field goal,3,0
1,2.0,2:58,Giants,Brad Daluiso 27 yard field goal,3,3
2,4.0,7:50,Giants,Tiki Barber 85 yard punt return (Brad Daluiso kick),3,10
3,4.0,1:57,Cowboys,Emmitt Smith 2 yard rush (Richie Cunningham kick),10,10
4,4.0,0:01,Giants,Brad Daluiso 21 yard field goal,10,13
