,Quarter,Tm,Detail,PIT,CLE
0,1.0,Browns,Don Cockroft 44 yard field goal,0,3
1,1.0,Steelers,Ron Shanklin 28 yard pass from Terry Hanratty (Roy Gerela kick),7,3
2,2.0,Steelers,Roy Gerela 32 yard field goal,10,3
3,2.0,Browns,Don Cockroft 35 yard field goal,10,6
4,2.0,Steelers,Roy Gerela 32 yard field goal,13,6
5,3.0,Browns,Van Green 36 yard interception return (Don Cockroft kick),13,13
6,3.0,Browns,Don Cockroft 18 yard field goal,13,16
7,4.0,Steelers,Roy Gerela 23 yard field goal,16,16
8,4.0,Steelers,J.T. Thomas 14 yard defensive fumble return (Roy Gerela kick),23,16
9,4.0,Steelers,Roy Gerela 22 yard field goal,26,16
