,Quarter,Tm,Detail,HOU,SEA
0,1.0,Oilers,Drew Hill 57 yard pass from Warren Moon (Tony Zendejas kick),7,0
1,1.0,Seahawks,Brian Blades 23 yard pass from Dave Krieg (Norm Johnson kick),7,7
2,2.0,Oilers,Tony Zendejas 52 yard field goal,10,7
3,2.0,Seahawks,Norm Johnson 40 yard field goal,10,10
4,3.0,Oilers,Allen Pinkett 2 yard rush (Tony Zendejas kick),17,10
5,3.0,Seahawks,Curt Warner 3 yard rush (Norm Johnson kick),17,17
6,4.0,Oilers,Warren Moon 11 yard rush (Tony Zendejas kick),24,17
7,4.0,Seahawks,John Williams 44 yard rush (Norm Johnson kick),24,24
8,4.0,Seahawks,Norm Johnson 46 yard field goal,24,27
