,Quarter,Tm,Detail,CLE,BUF
0,1.0,Bills,Reuben Gant 38 yard pass from Joe Ferguson (Carson Long kick),0,7
1,2.0,Browns,Don Cockroft 41 yard field goal,3,7
2,2.0,Browns,Don Cockroft 27 yard field goal,6,7
3,2.0,Browns,Paul Warfield 52 yard pass from Brian Sipe (Don Cockroft kick),13,7
4,2.0,Bills,Carson Long 41 yard field goal,13,10
5,3.0,Browns,Cleo Miller 6 yard pass from Greg Pruitt (Don Cockroft kick),20,10
6,3.0,Bills,Keith Moody 91 yard punt return,20,16
7,4.0,Browns,Gary Parris 9 yard pass from Brian Sipe (Don Cockroft kick),27,16
