,Quarter,Time,Tm,Detail,DEN,MIA
0,2,14:14,Dolphins,Dan Carpenter 38 yard field goal,0,3
1,2,2:41,Dolphins,Dan Carpenter 36 yard field goal,0,6
2,4,14:54,Dolphins,Anthony Fasano 16 yard pass from Matt Moore (pass failed),0,12
3,4,7:34,Dolphins,Dan Carpenter 43 yard field goal,0,15
4,4,2:44,Broncos,Demaryius Thomas 5 yard pass from Tim Tebow (Matt Prater kick),7,15
5,4,0:17,Broncos,Daniel Fells 3 yard pass from Tim Tebow (Tim Tebow run),15,15
6,OT,7:24,Broncos,Matt Prater 52 yard field goal,18,15
