,Quarter,Tm,Detail,NYG,PHO
0,1.0,Giants,David Treadwell 19 yard field goal,3,0
1,2.0,Giants,David Treadwell 22 yard field goal,6,0
2,3.0,Cardinals,Greg Davis 20 yard field goal,6,3
3,3.0,Cardinals,Ronald Moore 19 yard rush (Greg Davis kick),6,10
4,4.0,Cardinals,Ronald Moore 1 yard rush (Greg Davis kick),6,17
