,Quarter,Time,Tm,Detail,MIN,NOR
0,1.0,11:50,Saints,John Carney 40 yard field goal,0,3
1,1.0,8:21,Vikings,Daunte Culpepper 4 yard rush (Gary Anderson kick),7,3
2,1.0,1:01,Vikings,Daunte Culpepper 6 yard rush (Gary Anderson kick),14,3
3,1.0,0:48,Saints,Michael Lewis 97 yard kickoff return (John Carney kick),14,10
4,2.0,11:59,Vikings,Gary Anderson 41 yard field goal,17,10
5,2.0,5:25,Saints,John Carney 34 yard field goal,17,13
6,2.0,0:53,Saints,Jake Reed 35 yard pass from Aaron Brooks (John Carney kick),17,20
7,2.0,0:12,Vikings,Randy Moss 33 yard pass from Daunte Culpepper (Gary Anderson kick),24,20
8,3.0,0:55,Saints,John Carney 27 yard field goal,24,23
9,4.0,5:21,Saints,Deuce McAllister 17 yard pass from Aaron Brooks (Joe Horn pass from Aaron Brooks),24,31
10,4.0,0:05,Vikings,Randy Moss 13 yard pass from Daunte Culpepper (two point pass successful),32,31
