,Quarter,Tm,Detail,CLE,PIT
0,1,Steelers,Roy Gerela 19 yard field goal,0,3
1,2,Browns,Don Cockroft 43 yard field goal,3,3
2,2,Browns,Don Cockroft 30 yard field goal,6,3
3,3,Browns,Don Cockroft 41 yard field goal,9,3
4,4,Steelers,Roy Gerela 33 yard field goal,9,6
5,4,Steelers,Roy Gerela 36 yard field goal,9,9
6,OT,Steelers,Bennie Cunningham 37 yard pass from Terry Bradshaw,9,15
