,Quarter,Tm,Detail,BUF,NWE
0,2,Patriots,John Smith 47 yard field goal,0,3
1,2,Bills,Nick Mike-Mayer 29 yard field goal,3,3
2,3,Bills,Nick Mike-Mayer 26 yard field goal,6,3
3,4,Patriots,Steve Grogan 1 yard rush (John Smith kick),6,10
4,4,Patriots,John Smith 32 yard field goal,6,13
5,4,Bills,Lou Piccone 11 yard pass from Joe Ferguson (Nick Mike-Mayer kick),13,13
6,OT,Bills,Nick Mike-Mayer 29 yard field goal,16,13
