,Quarter,Time,Tm,Detail,OAK,DAL
0,1.0,,Raiders,Greg Davis 30 yard field goal,3,0
1,2.0,,Cowboys,Richie Cunningham 40 yard field goal,3,3
2,2.0,1:24,Raiders,James Jett 75 yard pass from Jeff George (Greg Davis kick),10,3
3,4.0,1:24,Raiders,Greg Davis 38 yard field goal,13,3
4,4.0,1:24,Cowboys,Emmitt Smith 1 yard rush (Richie Cunningham kick),13,10
5,4.0,1:24,Cowboys,"Safety, Araguz ran out of end zone",13,12
