,Quarter,Tm,Detail,DET,GNB
0,2.0,Packers,Jim Taylor 1 yard rush (Don Chandler kick),0,7
1,2.0,Lions,Joe Don Looney 1 yard rush (Wayne Walker kick),7,7
2,4.0,Lions,Wayne Walker 13 yard field goal,10,7
3,4.0,Lions,"Safety, Brown tackled Starr in end zone",12,7
