,Quarter,Tm,Detail,STL,RAM
0,1.0,Rams,Ron Jaworski 5 yard rush (Tom Dempsey kick),0,7
1,1.0,Rams,Jack Youngblood 47 yard interception return (Tom Dempsey kick),0,14
2,2.0,Rams,Bill Simpson 65 yard interception return (Tom Dempsey kick),0,21
3,2.0,Cardinals,Jim Otis 2 yard rush,6,21
4,2.0,Rams,Harold Jackson 66 yard pass from Ron Jaworski (Tom Dempsey kick),6,28
5,2.0,Cardinals,Jim Bakken 29 yard field goal,9,28
6,3.0,Cardinals,Mel Gray 11 yard pass from Jim Hart (Jim Bakken kick),16,28
7,4.0,Rams,Ron Jessie 2 yard offensive fumble return (Tom Dempsey kick),16,35
8,4.0,Cardinals,Steve Jones 3 yard rush (Jim Bakken kick),23,35
