,Quarter,Tm,Detail,PIT,NOR
0,1.0,Saints,Tony Lorick 22 yard pass from Billy Kilmer (Charlie Durkee kick),0,7
1,1.0,Steelers,Roy Jefferson 55 yard pass from Dick Shiner (Booth Lusteg kick),7,7
2,2.0,Saints,Don McCall 25 yard pass from Billy Kilmer (Charlie Durkee kick),7,14
3,2.0,Saints,Charlie Brown 53 yard punt return (Charlie Durkee kick),7,21
4,4.0,Saints,Charlie Durkee 31 yard field goal,7,24
5,4.0,Steelers,J.R. Wilburn 17 yard pass from Kent Nix (Booth Lusteg kick),14,24
