,Quarter,Tm,Detail,ATL,NOR
0,2.0,Saints,Wayne Wilson 1 yard rush (Morten Andersen kick),0,7
1,2.0,Falcons,Mick Luckhurst 40 yard field goal,3,7
2,2.0,Saints,Kenny Duckett 11 yard pass from Ken Stabler (Morten Andersen kick),3,14
3,3.0,Falcons,Mick Luckhurst 29 yard field goal,6,14
4,4.0,Saints,Bill Hurley 39 yard pass from Russell Erxleben (Morten Andersen kick),6,21
5,4.0,Saints,Wayne Wilson 17 yard rush (Morten Andersen kick),6,28
6,4.0,Saints,Wayne Wilson 4 yard rush (Morten Andersen kick),6,35
