,Quarter,Tm,Detail,NYJ,DEN
0,1.0,Broncos,Fred Steinfort 30 yard field goal,0,3
1,1.0,Jets,Wesley Walker 36 yard pass from Richard Todd (Pat Leahy kick),7,3
2,2.0,Jets,Pat Leahy 23 yard field goal,10,3
3,2.0,Jets,Lam Jones 31 yard pass from Richard Todd (Pat Leahy kick),17,3
4,2.0,Broncos,Riley Odoms 22 yard pass from Craig Morton (Fred Steinfort kick),17,10
5,3.0,Broncos,Dave Preston 3 yard rush (Fred Steinfort kick),17,17
6,4.0,Broncos,Jon Keyworth 1 yard rush (Fred Steinfort kick),17,24
7,4.0,Jets,Scott Dierking 1 yard rush (Pat Leahy kick),24,24
8,4.0,Broncos,Rick Upchurch 13 yard pass from Craig Morton (Fred Steinfort kick),24,31
