,Quarter,Time,Tm,Detail,DAL,CAR
0,2.0,8:50,Panthers,Cam Newton 4 yard rush (Graham Gano kick),0,7
1,2.0,0:03,Panthers,Graham Gano 27 yard field goal,0,10
2,4.0,14:12,Panthers,Alex Armah 1 yard rush (run failed),0,16
3,4.0,8:51,Cowboys,Ezekiel Elliott 4 yard rush (Dak Prescott run),8,16
