,Quarter,Tm,Detail,BUF,HOU
0,1.0,Bills,Steve Christie 40 yard field goal,3,0
1,1.0,Oilers,Al Del Greco 28 yard field goal,3,3
2,1.0,Oilers,Leonard Harris 13 yard pass from Cody Carlson (Al Del Greco kick),3,10
3,2.0,Oilers,Haywood Jeffires 17 yard pass from Warren Moon (Al Del Greco kick),3,17
4,2.0,Oilers,Al Del Greco 18 yard field goal,3,20
5,4.0,Oilers,Gary Brown 1 yard rush (Al Del Greco kick),3,27
