,Quarter,Time,Tm,Detail,JAX,PIT
0,1.0,0:47,Steelers,Kris Brown 48 yard field goal,0,3
1,2.0,0:06,Steelers,Kris Brown 28 yard field goal,0,6
2,3.0,0:19,Steelers,Hines Ward 28 yard pass from Kordell Stewart (Kris Brown kick),0,13
3,3.0,0:00,Jaguars,Elvis Joseph 95 yard kickoff return (Mike Hollis kick),7,13
4,4.0,1:56,Steelers,Kordell Stewart 7 yard rush (Kris Brown kick),7,20
