,Quarter,Tm,Detail,DET,NYG
0,2.0,Giants,Ed Marshall 11 yard pass from Craig Morton (Joe Danelo kick),0,7
1,2.0,Giants,Joe Danelo 35 yard field goal,0,10
2,2.0,Lions,Lawrence Gaines 1 yard rush (Benny Ricardo kick),7,10
3,2.0,Giants,Doug Kotar 3 yard rush (Joe Danelo kick),7,17
4,2.0,Lions,Benny Ricardo 43 yard field goal,10,17
5,3.0,Giants,Ed Marshall 35 yard pass from Craig Morton (Joe Danelo kick),10,24
