,Quarter,Tm,Detail,PIT,BUF
0,1.0,Steelers,Franco Harris 2 yard rush (Matt Bahr kick),7,0
1,1.0,Bills,Jerry Butler 29 yard pass from Joe Ferguson (Nick Mike-Mayer kick),7,7
2,2.0,Bills,Jerry Butler 10 yard pass from Joe Ferguson (Nick Mike-Mayer kick),7,14
3,2.0,Steelers,Matt Bahr 36 yard field goal,10,14
4,3.0,Bills,Curtis Brown 34 yard rush (Nick Mike-Mayer kick),10,21
5,4.0,Bills,Reuben Gant 2 yard pass from Joe Ferguson (Nick Mike-Mayer kick),10,28
6,4.0,Steelers,Matt Bahr 42 yard field goal,13,28
