,Quarter,Tm,Detail,CHI,NYG
0,1.0,Giants,Ken Strong 38 yard field goal,0,3
1,2.0,Bears,Bronko Nagurski 1 yard rush (Jack Manders kick),7,3
2,2.0,Bears,Jack Manders 17 yard field goal,10,3
3,3.0,Bears,Jack Manders 24 yard field goal,13,3
4,4.0,Giants,Ike Frankian 28 yard pass from Ed Danowski (Ken Strong kick),13,10
5,4.0,Giants,Ken Strong 42 yard rush (Ken Strong kick),13,17
6,4.0,Giants,Ken Strong 11 yard rush,13,23
7,4.0,Giants,Ed Danowski 9 yard rush (Bo Molenda kick),13,30
