,Quarter,Tm,Detail,CHI,SFO
0,1.0,49ers,Doug Cunningham 1 yard rush (Momcilo Gavric kick),0,7
1,2.0,Bears,Gale Sayers 4 yard rush (Mac Percival kick),7,7
2,2.0,49ers,Bill Tucker 1 yard rush (Momcilo Gavric kick),7,14
3,2.0,49ers,Bill Tucker 18 yard pass from John Brodie (Momcilo Gavric kick),7,21
4,2.0,49ers,Jimmy Thomas 75 yard rush (Momcilo Gavric kick),7,28
5,3.0,Bears,Dick Gordon 41 yard pass from Virgil Carter (Mac Percival kick),14,28
6,3.0,49ers,Jimmy Thomas 75 yard pass from Steve Spurrier (Momcilo Gavric kick),14,35
7,4.0,Bears,Bob Wallace 13 yard pass from Virgil Carter (Mac Percival kick),21,35
8,4.0,49ers,Bill Tucker 24 yard rush (Momcilo Gavric kick),21,42
