,Quarter,Tm,Detail,BAL,GNB
0,1.0,Colts,Bert Rechichar 41 yard field goal,3,0
1,1.0,Colts,George Taliaferro 29 yard pass from Gary Kerkorian (Gary Kerkorian kick),10,0
2,2.0,Colts,Gary Kerkorian 32 yard field goal,13,0
3,2.0,Packers,Fred Cone 11 yard field goal,13,3
4,2.0,Packers,Tobin Rote 1 yard rush (Fred Cone kick),13,10
5,3.0,Packers,Tobin Rote 1 yard rush (Fred Cone kick),13,17
6,4.0,Packers,Tobin Rote 1 yard rush (Fred Cone kick),13,24
