,Quarter,Time,Tm,Detail,TAM,ATL
0,1.0,7:28,Buccaneers,Dave Moore 1 yard pass from Shaun King (Martin Gramatica kick),7,0
1,2.0,4:59,Buccaneers,Keyshawn Johnson 5 yard pass from Shaun King (Martin Gramatica kick),14,0
2,3.0,7:05,Falcons,Terance Mathis 19 yard pass from Danny Kanell (Morten Andersen kick),14,7
3,3.0,0:45,Buccaneers,Martin Gramatica 51 yard field goal,17,7
4,4.0,7:59,Buccaneers,Keyshawn Johnson 29 yard pass from Shaun King (Martin Gramatica kick),24,7
5,4.0,4:27,Buccaneers,Martin Gramatica 34 yard field goal,27,7
6,4.0,0:03,Falcons,Terance Mathis 16 yard pass from Danny Kanell (Morten Andersen kick),27,14
