,Quarter,Tm,Detail,MIN,BAL
0,2.0,Colts,Johnny Unitas 1 yard rush (Lou Michaels kick),0,7
1,2.0,Vikings,Phil King 6 yard pass from Fran Tarkenton (Fred Cox kick),7,7
2,2.0,Colts,Lou Michaels 13 yard field goal,7,10
3,3.0,Colts,Lou Michaels 33 yard field goal,7,13
4,3.0,Vikings,Fred Cox 21 yard field goal,10,13
5,4.0,Colts,Raymond Berry 13 yard pass from Johnny Unitas (Lou Michaels kick),10,20
6,4.0,Vikings,Tommy Mason 3 yard pass from Fran Tarkenton (Fred Cox kick),17,20
