,Quarter,Tm,Detail,BAL,NYG
0,1,Giants,Pat Summerall 36 yard field goal,0,3
1,2,Colts,Alan Ameche 2 yard rush (Steve Myhra kick),7,3
2,2,Colts,Raymond Berry 15 yard pass from Johnny Unitas (Steve Myhra kick),14,3
3,3,Giants,Mel Triplett 1 yard rush (Pat Summerall kick),14,10
4,4,Giants,Frank Gifford 15 yard pass from Charlie Conerly (Pat Summerall kick),14,17
5,4,Colts,Steve Myhra 20 yard field goal,17,17
6,OT,Colts,Alan Ameche 1 yard rush,23,17
