,Quarter,Tm,Detail,BOS,PHI
0,1.0,Eagles,Steve Van Buren 3 yard rush (Cliff Patton kick),0,7
1,1.0,Eagles,Jack Ferrante 54 yard pass from Tommy Thompson,0,13
2,2.0,Eagles,Jack Ferrante 14 yard pass from Tommy Thompson (Cliff Patton kick),0,20
3,3.0,Eagles,Steve Van Buren 13 yard rush,0,26
4,4.0,Eagles,Neill Armstrong 7 yard pass from Bill Mackrides,0,32
