,Quarter,Tm,Detail,CLE,DEN
0,1.0,Browns,Don Cockroft 24 yard field goal,3,0
1,1.0,Broncos,Jim Turner 25 yard field goal,3,3
2,2.0,Browns,Don Cockroft 49 yard field goal,6,3
3,2.0,Broncos,Jim Turner 48 yard field goal,6,6
4,2.0,Browns,Don Cockroft 43 yard field goal,9,6
5,3.0,Browns,Don Cockroft 20 yard field goal,12,6
6,4.0,Browns,Don Cockroft 42 yard field goal,15,6
7,4.0,Broncos,Jon Keyworth 1 yard rush (Jim Turner kick),15,13
8,4.0,Broncos,Jim Turner 53 yard field goal,15,16
