,Quarter,Tm,Detail,CHI,MIN
0,1.0,Bears,Bronko Nagurski 8 yard rush (Carl Brumbaugh pass from Joe Lintzenich),7,0
1,3.0,Bears,Bronko Nagurski 2 yard rush,13,0
2,3.0,Bears,Red Grange 30 yard pass from Joey Sternaman (Joey Sternaman kick),20,0
