,Quarter,Time,Tm,Detail,MIN,NWE
0,1,,Vikings,Terry Allen 2 yard rush (Fuad Reveiz kick),7,0
1,1,,Vikings,Fuad Reveiz 40 yard field goal,10,0
2,2,,Vikings,Qadry Ismail 65 yard pass from Warren Moon (Fuad Reveiz kick),17,0
3,2,,Vikings,Fuad Reveiz 33 yard field goal,20,0
4,2,,Patriots,Matt Bahr 38 yard field goal,20,3
5,3,,Patriots,Ray Crittenden 31 yard pass from Drew Bledsoe (Matt Bahr kick),20,10
6,4,,Patriots,Leroy Thompson 5 yard pass from Drew Bledsoe (Matt Bahr kick),20,17
7,4,,Patriots,Matt Bahr 23 yard field goal,20,20
8,OT,,Patriots,Kevin Turner 14 yard pass from Drew Bledsoe,20,26
