,Quarter,Tm,Detail,KAN,NYG
0,1.0,Giants,Mark Bavaro 12 yard pass from Phil Simms (Paul McFadden kick),0,7
1,2.0,Chiefs,Nick Lowery 31 yard field goal,3,7
2,3.0,Chiefs,Nick Lowery 51 yard field goal,6,7
3,3.0,Giants,Mark Bavaro 24 yard pass from Phil Simms (Paul McFadden kick),6,14
4,3.0,Chiefs,Nick Lowery 46 yard field goal,9,14
5,3.0,Chiefs,Nick Lowery 41 yard field goal,12,14
6,4.0,Giants,Ottis Anderson 2 yard rush (Paul McFadden kick),12,21
7,4.0,Giants,Maurice Carthon 5 yard rush (Paul McFadden kick),12,28
