,Quarter,Tm,Detail,NYJ,NWE
0,1.0,Patriots,Harold Jackson 11 yard pass from Steve Grogan (David Posey kick),0,7
1,1.0,Patriots,Stanley Morgan 30 yard pass from Steve Grogan (David Posey kick),0,14
2,1.0,Patriots,Horace Ivory 7 yard rush (David Posey kick),0,21
3,1.0,Jets,Bruce Harper 1 yard rush (Pat Leahy kick),7,21
4,2.0,Patriots,Horace Ivory 9 yard rush (David Posey kick),7,28
5,2.0,Patriots,Harold Jackson 28 yard pass from Steve Grogan,7,34
6,2.0,Patriots,Russ Francis 11 yard pass from Steve Grogan (David Posey kick),7,41
7,3.0,Patriots,James McAlister 1 yard rush (David Posey kick),7,48
8,4.0,Jets,Tom Newton 2 yard rush (Pat Leahy kick),14,48
9,4.0,Patriots,James McAlister 1 yard rush (David Posey kick),14,55
10,4.0,Jets,Tom Newton 3 yard rush (Pat Leahy kick),21,55
