,Quarter,Tm,Detail,NYJ,PHI
0,2.0,Jets,Pat Leahy 41 yard field goal,3,0
1,2.0,Eagles,Harold Carmichael 18 yard pass from Ron Jaworski (Nick Mike-Mayer kick),3,7
2,3.0,Eagles,Nick Mike-Mayer 39 yard field goal,3,10
3,3.0,Jets,Kevin Long 5 yard rush,9,10
4,4.0,Eagles,Harold Carmichael 6 yard pass from Ron Jaworski (Nick Mike-Mayer kick),9,17
