,Quarter,Time,Tm,Detail,PIT,GNB
0,1.0,11:40,Steelers,Jeff Reed 32 yard field goal,3,0
1,1.0,6:45,Steelers,Jeff Reed 24 yard field goal,6,0
2,1.0,1:00,Packers,Ryan Longwell 40 yard field goal,6,3
3,2.0,13:44,Steelers,Troy Polamalu 77 yard defensive fumble return (Jeff Reed kick),13,3
4,3.0,7:26,Packers,Samkon Gado 1 yard rush (Ryan Longwell kick),13,10
5,4.0,6:16,Steelers,Duce Staley 3 yard rush (Jeff Reed kick),20,10
