,Quarter,Tm,Detail,SFO,PIT
0,1.0,49ers,Gordie Soltau 24 yard field goal,3,0
1,2.0,49ers,Bill Jessup 44 yard pass from Y.A. Tittle (Gordie Soltau kick),10,0
2,2.0,Steelers,Ed Kissell 31 yard field goal,10,3
3,2.0,49ers,Joe Perry 2 yard rush (Gordie Soltau kick),17,3
4,2.0,49ers,John Henry Johnson 24 yard rush (Gordie Soltau kick),24,3
5,4.0,49ers,Bill Jessup 24 yard pass from Y.A. Tittle (Gordie Soltau kick),31,3
