,Quarter,Tm,Detail,SEA,NWE
0,1.0,Seahawks,Curt Warner 13 yard rush (Norm Johnson kick),7,0
1,1.0,Patriots,Tony Collins 6 yard rush (Tony Franklin kick),7,7
2,2.0,Patriots,Tony Franklin 26 yard field goal,7,10
3,2.0,Patriots,Stanley Morgan 27 yard pass from Tony Eason (Tony Franklin kick),7,17
4,3.0,Seahawks,Ray Butler 54 yard pass from Dave Krieg (Norm Johnson kick),14,17
5,4.0,Patriots,Stanley Morgan 44 yard pass from Tony Eason (Tony Franklin kick),14,24
6,4.0,Seahawks,Curt Warner 1 yard rush (Norm Johnson kick),21,24
7,4.0,Patriots,Stanley Morgan 30 yard pass from Tony Eason (Tony Franklin kick),21,31
8,4.0,Seahawks,Norm Johnson 33 yard field goal,24,31
9,4.0,Seahawks,Paul Moyer special teams fumble recovery in end zone (Norm Johnson kick),31,31
10,4.0,Seahawks,Ray Butler 67 yard pass from Dave Krieg (Norm Johnson kick),38,31
