,Quarter,Time,Tm,Detail,DET,ATL
0,2.0,6:26,Falcons,Warrick Dunn 2 yard rush (Jay Feely kick),0,7
1,2.0,3:20,Lions,Az-Zahir Hakim 39 yard pass from Joey Harrington (Jason Hanson kick),7,7
2,2.0,1:57,Lions,Artose Pinner 1 yard rush (Jason Hanson kick),14,7
3,3.0,0:23,Lions,Jason Hanson 23 yard field goal,17,7
4,4.0,11:23,Falcons,Jay Feely 27 yard field goal,17,10
