,Quarter,Tm,Detail,NYY,NYG
0,1.0,Giants,Ray Poole 28 yard field goal,0,3
1,1.0,Yanks,George Taliaferro 1 yard rush (Harvey Johnson kick),7,3
2,1.0,Giants,Ray Poole 29 yard field goal,7,6
3,1.0,Giants,Tom Landry 55 yard interception return (Ray Poole kick),7,13
4,2.0,Giants,Ray Poole 13 yard field goal,7,16
5,2.0,Giants,Joe Scott 57 yard pass from Charlie Conerly (Ray Poole kick),7,23
6,2.0,Yanks,Sherman Howard 5 yard rush (Harvey Johnson kick),14,23
7,3.0,Yanks,Harvey Johnson 37 yard field goal,17,23
8,3.0,Giants,Emlen Tunnell 100 yard kickoff return (Ray Poole kick),17,30
9,3.0,Yanks,Buddy Young 90 yard kickoff return (Harvey Johnson kick),24,30
10,4.0,Giants,Eddie Price 1 yard rush (Ray Poole kick),24,37
11,4.0,Yanks,Zollie Toth 1 yard rush (Harvey Johnson kick),31,37
