,Quarter,Time,Tm,Detail,NYG,GNB
0,1,4:50,Giants,Lawrence Tynes 29 yard field goal,3,0
1,2,11:41,Giants,Lawrence Tynes 37 yard field goal,6,0
2,2,11:18,Packers,Donald Driver 90 yard pass from Brett Favre (Mason Crosby kick),6,7
3,2,1:30,Packers,Mason Crosby 36 yard field goal,6,10
4,3,7:56,Giants,Brandon Jacobs 1 yard rush (Lawrence Tynes kick),13,10
5,3,5:00,Packers,Donald Lee 12 yard pass from Brett Favre (Mason Crosby kick),13,17
6,3,2:12,Giants,Ahmad Bradshaw 4 yard rush (Lawrence Tynes kick),20,17
7,4,11:46,Packers,Mason Crosby 37 yard field goal,20,20
8,OT,12:25,Giants,Lawrence Tynes 47 yard field goal,23,20
