,Quarter,Tm,Detail,RAM,GNB
0,1.0,Packers,Clarke Hinkle 31 yard field goal,0,3
1,2.0,Packers,Joe Laws 1 yard rush (Don Hutson kick),0,10
2,2.0,Rams,Jim Benton 11 yard pass from Parker Hall (Chet Adams kick),7,10
3,3.0,Packers,Ed Jankowski 6 yard rush (Tiny Engebretsen kick),7,17
4,3.0,Rams,Parker Hall 18 yard rush (Chet Adams kick),14,17
5,3.0,Packers,Arnie Herber unknown yard rush (Tiny Engebretsen kick),14,24
6,4.0,Rams,Johnny Drake 5 yard rush (Chet Adams kick),21,24
7,4.0,Rams,Gaylon Smith 5 yard rush,27,24
