,Quarter,Tm,Detail,CHI,PHI
0,1.0,Eagles,Bob Krieger 10 yard pass from Tommy Thompson (Len Barnum kick),0,7
1,2.0,Eagles,Dick Humbert 6 yard pass from Tommy Thompson (Nick Basca kick),0,14
2,3.0,Bears,Hugh Gallarneau 13 yard rush (Bob Snyder kick),7,14
3,3.0,Bears,Hugh Gallarneau 46 yard interception return (Bob Snyder kick),14,14
4,3.0,Bears,Bob Swisher 12 yard pass from Sid Luckman (Bob Snyder kick),21,14
5,4.0,Bears,Ken Kavanaugh 24 yard pass from Sid Luckman (Joe Maniaci kick),28,14
6,4.0,Bears,John Siegal 59 yard pass from Bob Snyder (Joe Maniaci kick),35,14
7,4.0,Bears,Bob Swisher 60 yard interception return (Bob Nowaskey kick),42,14
8,4.0,Bears,Hugh Gallarneau 54 yard pass from Young Bussey (Harry Clarke run),49,14
