,Quarter,Tm,Detail,SFO,CHI
0,1,Bears,Rick Casares 1 yard rush (John Aveni kick),0,7
1,2,49ers,Tommy Davis 42 yard field goal,3,7
2,3,Bears,Johnny Morris 51 yard pass from Ed Brown (John Aveni kick),3,14
