,Quarter,Time,Tm,Detail,ATL,NYG
0,1.0,11:27,Falcons,Warrick Dunn 45 yard rush (Jay Feely kick),7,0
1,2.0,8:31,Giants,Dorsey Levens 2 yard rush (Brett Conway kick),7,7
2,3.0,5:24,Falcons,Justin Griffith 4 yard pass from Kurt Kittner (Jay Feely kick),14,7
3,3.0,2:54,Falcons,T.J. Duckett 1 yard rush (Jay Feely kick failed),20,7
4,4.0,2:16,Falcons,T.J. Duckett 12 yard rush (Jay Feely kick),27,7
