,Quarter,Tm,Detail,RAM,DET
0,2.0,Rams,Bob Snyder 2 yard rush (Bob Snyder kick),7,0
1,2.0,Lions,Lloyd Cardwell 45 yard pass from Bill Shepherd (Bill Shepherd kick),7,7
2,2.0,Lions,Harry Ebding 18 yard fumble return (Bill Shepherd kick),7,14
3,3.0,Lions,Jack Johnson 60 yard fumble return (Bill Shepherd kick),7,21
4,4.0,Lions,Bill Shepherd 17 yard field goal,7,24
5,4.0,Lions,Bill Shepherd 45 yard field goal,7,27
