,Quarter,Tm,Detail,DET,CHI
0,1.0,Lions,Mel Farr 32 yard pass from Bill Munson (Jerry DePoyster kick),7,0
1,1.0,Bears,Cecil Turner 80 yard pass from Larry Rakestraw (Mac Percival kick),7,7
2,2.0,Lions,Mel Farr 9 yard rush (Jerry DePoyster kick),14,7
3,2.0,Bears,Mac Percival 33 yard field goal,14,10
4,3.0,Lions,Mel Farr 1 yard rush (Jerry DePoyster kick),21,10
5,4.0,Lions,Tom Nowatzke 1 yard rush (Jerry DePoyster kick),28,10
