,Quarter,Tm,Detail,RAM,ATL
0,1,Falcons,Alfred Jackson 7 yard pass from Steve Bartkowski,0,6
1,2,Rams,Frank Corral 23 yard field goal,3,6
2,3,Rams,Drew Hill 74 yard pass from Vince Ferragamo (Frank Corral kick),10,6
3,4,Falcons,Alfred Jackson 54 yard pass from Steve Bartkowski (Tim Mazzetti kick),10,13
