,Quarter,Tm,Detail,DET,MIN
0,1.0,Lions,Errol Mann 28 yard field goal,3,0
1,1.0,Vikings,Fred Cox 19 yard field goal,3,3
2,1.0,Lions,Bobby Williams 85 yard kickoff return (Errol Mann kick),10,3
3,2.0,Vikings,Clint Jones 3 yard rush (Fred Cox kick),10,10
4,3.0,Lions,Mel Farr 5 yard pass from Greg Landry (Errol Mann kick),17,10
5,3.0,Lions,Errol Mann 17 yard field goal,20,10
6,4.0,Vikings,Clint Jones 1 yard rush (Fred Cox kick),20,17
7,4.0,Vikings,Clint Jones 5 yard rush (Fred Cox kick),20,24
